Feature Set,Model,WindowSize,Train Samples,Test Samples,Fold Accuracy,Fold Balanced Acc,Fold F1 Score,Fold Sensitivity,Fold Specificity,Fold ROC-AUC,Train Time (s)
HR_2_HRV_Proxies,LR,10Seconds,60603.2000 ± 820.0388,15150.8000 ± 820.0388,0.4787 ± 0.0908,0.4957 ± 0.0097,0.0415 ± 0.0927,0.0260 ± 0.0582,0.9653 ± 0.0775,0.4953 ± 0.0105,0.2644 ± 0.0184
HR_2_HRV_Proxies,DT,10Seconds,60603.2000 ± 820.0388,15150.8000 ± 820.0388,0.4575 ± 0.1825,0.4711 ± 0.1509,0.3368 ± 0.2506,0.3309 ± 0.3282,0.6113 ± 0.2858,0.4766 ± 0.1384,0.2656 ± 0.0087
HR_3_Temporal_Dynamics,RF,10Seconds,60603.2000 ± 820.0388,15150.8000 ± 820.0388,0.5136 ± 0.0365,0.5287 ± 0.0112,0.3964 ± 0.0376,0.3125 ± 0.0536,0.7449 ± 0.0517,0.5405 ± 0.0269,38.4182 ± 6.0082
HR_3_Temporal_Dynamics,XGB,10Seconds,60603.2000 ± 820.0388,15150.8000 ± 820.0388,0.5130 ± 0.0215,0.5250 ± 0.0239,0.4442 ± 0.0419,0.3792 ± 0.0429,0.6708 ± 0.0622,0.5439 ± 0.0380,3.8728 ± 0.0950
HR_3_Temporal_Dynamics,GB,10Seconds,60603.2000 ± 820.0388,15150.8000 ± 820.0388,0.5202 ± 0.0275,0.5339 ± 0.0177,0.4591 ± 0.0220,0.3978 ± 0.0563,0.6699 ± 0.0692,0.5545 ± 0.0249,99.6039 ± 1.3428
HR_3_Temporal_Dynamics,LR,10Seconds,60603.2000 ± 820.0388,15150.8000 ± 820.0388,0.4781 ± 0.0912,0.5000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,1.0000 ± 0.0000,0.5000 ± 0.0000,0.2797 ± 0.0250
HR_3_Temporal_Dynamics,DT,10Seconds,60603.2000 ± 820.0388,15150.8000 ± 820.0388,0.5147 ± 0.0351,0.5204 ± 0.0249,0.4603 ± 0.0602,0.4039 ± 0.0598,0.6369 ± 0.0120,0.5173 ± 0.0243,0.6254 ± 0.0404
HR_4_Contextual_Baseline,RF,10Seconds,60603.2000 ± 820.0388,15150.8000 ± 820.0388,0.4834 ± 0.0381,0.4983 ± 0.0152,0.3486 ± 0.0175,0.2693 ± 0.0344,0.7273 ± 0.0577,0.5014 ± 0.0194,17.4050 ± 3.6687
HR_4_Contextual_Baseline,XGB,10Seconds,60603.2000 ± 820.0388,15150.8000 ± 820.0388,0.4911 ± 0.0186,0.5000 ± 0.0152,0.4311 ± 0.0303,0.3746 ± 0.0266,0.6255 ± 0.0536,0.5005 ± 0.0224,2.9213 ± 0.1922
HR_4_Contextual_Baseline,GB,10Seconds,60603.2000 ± 820.0388,15150.8000 ± 820.0388,0.4975 ± 0.0244,0.5095 ± 0.0176,0.4353 ± 0.0285,0.3778 ± 0.0466,0.6413 ± 0.0548,0.5172 ± 0.0224,59.2186 ± 1.0613
HR_4_Contextual_Baseline,LR,10Seconds,60603.2000 ± 820.0388,15150.8000 ± 820.0388,0.4781 ± 0.0912,0.5000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,1.0000 ± 0.0000,0.5000 ± 0.0000,0.2399 ± 0.0049
HR_4_Contextual_Baseline,DT,10Seconds,60603.2000 ± 820.0388,15150.8000 ± 820.0388,0.4856 ± 0.0257,0.4932 ± 0.0101,0.4145 ± 0.0335,0.3533 ± 0.0234,0.6330 ± 0.0270,0.4919 ± 0.0118,0.4183 ± 0.0262
